PGD_Iters	ALP	ATMR
5	0.5580	0.5612
10	0.5560	0.5591
20	0.5547	0.5584
30	0.5541	0.5584
40	0.5541	0.5578
50	0.5541	0.5579
60	0.5539	0.5577
