PGD_Iters	ALP	ATMR
5	0.2906	0.3013
10	0.2882	0.2994
20	0.2877	0.2991
30	0.2875	0.2991
40	0.2875	0.2991
50	0.2875	0.2991
60	0.2875	0.2991
