knn	Clean	FGSM	PGD
2	0.9884	0.9541	0.8826
3	0.9873	0.9523	0.8883
4	0.9878	0.9451	0.9048
5	0.9877	0.9484	0.9035
6	0.9892	0.9465	0.9062
7	0.9895	0.9448	0.9073
8	0.9888	0.9525	0.8787
9	0.9897	0.9455	0.9049
10	0.9883	0.9427	0.9023
