knn	Clean	FGSM	PGD
2	0.9352	0.9347	0.3302
3	0.9366	0.9230	0.2942
4	0.9406	0.9276	0.4317
5	0.9379	0.9199	0.4339
6	0.9393	0.9343	0.3763
7	0.9362	0.9205	0.2930
8	0.9397	0.9394	0.3762
9	0.9411	0.9383	0.3707
10	0.9430	0.9406	0.3463
