knn	Clean	FGSM	PGD
2	0.4922	0.3084	0.2926
3	0.5014	0.3084	0.2940
4	0.4908	0.3060	0.2866
5	0.5078	0.3040	0.2868
6	0.5088	0.3044	0.2870
7	0.5064	0.2986	0.2840
8	0.4986	0.2884	0.2696
9	0.5114	0.2926	0.2766
10	0.5154	0.3082	0.2856
